Date,Open,High,Low,Close,Volume
2-Sep-16,1.78,1.81,1.76,1.77,61100
1-Sep-16,1.76,1.76,1.74,1.75,22000
31-Aug-16,1.75,1.75,1.71,1.73,86021
30-Aug-16,1.81,1.81,1.76,1.78,12235
29-Aug-16,1.79,1.82,1.79,1.82,41725
26-Aug-16,1.79,1.79,1.75,1.76,7324
25-Aug-16,1.76,1.80,1.73,1.77,23400
24-Aug-16,1.81,1.82,1.79,1.79,17150
23-Aug-16,1.85,1.87,1.83,1.87,8900
22-Aug-16,1.87,1.88,1.83,1.83,15959
19-Aug-16,1.93,1.93,1.88,1.88,1944
18-Aug-16,1.91,1.92,1.91,1.92,1975
17-Aug-16,1.95,1.95,1.91,1.92,46170
16-Aug-16,1.87,1.90,1.86,1.90,5704
15-Aug-16,1.90,1.90,1.86,1.90,23542
12-Aug-16,1.97,1.99,1.90,1.92,43136
11-Aug-16,1.93,2.00,1.92,1.97,35944
10-Aug-16,1.76,1.87,1.76,1.87,11600
9-Aug-16,1.84,1.85,1.83,1.85,17805
8-Aug-16,1.79,1.86,1.79,1.85,26650
5-Aug-16,1.73,1.76,1.73,1.76,3999
4-Aug-16,1.75,1.79,1.75,1.77,9600
3-Aug-16,1.73,1.75,1.70,1.75,17830
2-Aug-16,1.79,1.79,1.72,1.72,29590
1-Aug-16,1.81,1.81,1.74,1.74,5299
29-Jul-16,1.86,1.86,1.72,1.78,24005
28-Jul-16,1.72,1.73,1.72,1.73,21575
27-Jul-16,1.76,1.77,1.72,1.72,15075
26-Jul-16,1.70,1.89,1.63,1.72,42755
25-Jul-16,1.78,1.80,1.68,1.71,34010
22-Jul-16,1.78,1.82,1.78,1.80,13851
21-Jul-16,1.82,1.91,1.78,1.79,37699
20-Jul-16,1.81,1.91,1.78,1.81,89700
19-Jul-16,1.91,1.92,1.81,1.81,135970
18-Jul-16,1.93,1.93,1.84,1.84,95125
15-Jul-16,1.95,1.96,1.92,1.92,31509
14-Jul-16,1.99,1.99,1.95,1.97,4100
13-Jul-16,1.94,2.03,1.94,1.98,32816
12-Jul-16,1.89,1.91,1.87,1.91,17545
11-Jul-16,1.90,1.93,1.90,1.91,77150
8-Jul-16,1.92,1.95,1.88,1.90,44512
7-Jul-16,1.96,1.98,1.92,1.92,24827
6-Jul-16,1.96,1.96,1.92,1.94,29590
5-Jul-16,2.02,2.03,1.97,1.97,43690
1-Jul-16,1.97,2.08,1.97,2.06,9866
30-Jun-16,2.00,2.06,1.97,2.06,33150
29-Jun-16,1.96,1.98,1.92,1.96,60114
28-Jun-16,1.82,1.94,1.82,1.94,38260
27-Jun-16,1.83,1.88,1.75,1.82,351452
24-Jun-16,1.92,2.02,1.91,1.93,159271
23-Jun-16,2.04,2.07,2.02,2.04,15132
22-Jun-16,2.08,2.10,2.03,2.04,34833
21-Jun-16,2.14,2.14,2.06,2.09,66829
20-Jun-16,2.15,2.16,2.07,2.14,110730
17-Jun-16,2.02,2.11,1.99,2.11,8314
16-Jun-16,1.96,2.00,1.91,2.00,122314
15-Jun-16,2.01,2.04,1.98,1.98,43682
14-Jun-16,2.14,2.14,2.01,2.02,165395
13-Jun-16,2.12,2.19,2.07,2.16,95545
10-Jun-16,2.20,2.22,2.12,2.14,69381
9-Jun-16,2.25,2.25,2.15,2.22,70036
8-Jun-16,2.17,2.25,2.14,2.25,198981
7-Jun-16,2.01,2.11,2.01,2.11,141956
6-Jun-16,1.94,2.07,1.94,2.02,315783
3-Jun-16,1.92,2.00,1.92,1.92,25142
2-Jun-16,1.83,2.01,1.83,1.92,593596
1-Jun-16,1.81,1.83,1.79,1.82,36440
31-May-16,1.75,1.83,1.71,1.83,27089
27-May-16,1.70,1.72,1.68,1.71,18000
26-May-16,1.67,1.72,1.67,1.68,38936
25-May-16,1.76,1.76,1.66,1.69,108651
24-May-16,1.78,1.78,1.75,1.76,17373
23-May-16,1.80,1.80,1.77,1.77,26015
20-May-16,1.80,1.85,1.80,1.83,53847
19-May-16,1.81,1.87,1.78,1.83,293332
18-May-16,1.83,1.83,1.77,1.77,179775
17-May-16,1.91,1.91,1.85,1.88,112848
16-May-16,1.82,1.98,1.82,1.91,81052
13-May-16,1.65,1.68,1.65,1.65,25101
12-May-16,1.68,1.74,1.67,1.67,18178
11-May-16,1.75,1.75,1.62,1.68,94340
10-May-16,1.80,1.87,1.76,1.76,17200
9-May-16,1.88,1.88,1.82,1.87,28091
6-May-16,1.82,1.95,1.81,1.92,36796
5-May-16,1.84,1.84,1.76,1.83,271610
4-May-16,1.69,1.73,1.68,1.70,47550
3-May-16,1.75,1.75,1.69,1.73,87375
2-May-16,1.80,1.83,1.74,1.75,71530
29-Apr-16,1.76,1.83,1.73,1.77,64400
28-Apr-16,1.78,1.78,1.73,1.76,17383
27-Apr-16,1.72,1.79,1.72,1.72,31797
26-Apr-16,1.66,1.73,1.66,1.72,37320
25-Apr-16,1.70,1.71,1.59,1.68,149851
22-Apr-16,1.82,1.82,1.70,1.72,223001
21-Apr-16,1.89,1.89,1.82,1.87,52600
20-Apr-16,1.74,1.90,1.70,1.90,311257
19-Apr-16,1.91,1.91,1.71,1.81,143945
18-Apr-16,2.09,2.11,1.75,1.85,126689
15-Apr-16,2.09,2.10,2.04,2.06,116900
14-Apr-16,1.95,2.14,1.92,2.11,209760
13-Apr-16,1.94,1.94,1.84,1.90,143953
12-Apr-16,1.79,1.96,1.79,1.95,214147
11-Apr-16,1.60,1.77,1.60,1.77,217778
8-Apr-16,1.51,1.56,1.50,1.56,47035
7-Apr-16,1.49,1.52,1.48,1.50,191185
6-Apr-16,1.43,1.50,1.37,1.50,163415
5-Apr-16,1.50,1.50,1.42,1.43,128510
4-Apr-16,1.55,1.62,1.50,1.51,408964
1-Apr-16,1.35,1.53,1.35,1.45,184533
31-Mar-16,1.37,1.39,1.32,1.35,101336
30-Mar-16,1.15,1.31,1.14,1.31,139330
29-Mar-16,1.09,1.12,1.09,1.12,19615
28-Mar-16,1.10,1.13,1.06,1.08,70183
24-Mar-16,1.00,1.08,1.00,1.08,68349
23-Mar-16,1.01,1.02,1.00,1.00,78650
22-Mar-16,1.07,1.08,1.01,1.01,57645
21-Mar-16,1.08,1.09,1.05,1.06,96306
18-Mar-16,1.12,1.14,1.08,1.09,208591
17-Mar-16,1.00,1.10,1.00,1.10,88341
16-Mar-16,0.99,1.00,0.96,1.00,39832
15-Mar-16,1.03,1.04,0.99,1.00,111605
14-Mar-16,1.08,1.08,1.03,1.03,94120
11-Mar-16,1.05,1.08,1.04,1.08,72267
10-Mar-16,1.02,1.03,0.98,1.00,35750
9-Mar-16,1.07,1.07,1.01,1.02,62100
8-Mar-16,1.14,1.15,1.08,1.12,191800
7-Mar-16,1.00,1.09,0.99,1.07,148540
4-Mar-16,0.92,0.97,0.89,0.96,126417
3-Mar-16,0.93,0.94,0.88,0.91,485082
2-Mar-16,0.70,0.72,0.70,0.72,2050
1-Mar-16,0.72,0.73,0.71,0.72,6500
26-Feb-16,0.73,0.73,0.70,0.70,13500
25-Feb-16,0.72,0.73,0.71,0.73,18500
24-Feb-16,0.71,0.72,0.70,0.72,7300
23-Feb-16,0.74,0.74,0.70,0.72,45570
22-Feb-16,0.70,0.74,0.70,0.74,110362
19-Feb-16,0.69,0.69,0.68,0.68,13100
18-Feb-16,0.66,0.66,0.65,0.66,23500
17-Feb-16,0.64,0.66,0.64,0.65,39000
16-Feb-16,0.64,0.65,0.62,0.64,39043
12-Feb-16,0.65,0.66,0.65,0.66,29100
11-Feb-16,0.65,0.66,0.63,0.64,25700
10-Feb-16,0.70,0.72,0.66,0.66,39750
9-Feb-16,0.64,0.70,0.64,0.69,173037
8-Feb-16,0.62,0.64,0.61,0.63,22025
